# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Fri Jun 19 02:22:26 +03 2020
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.0% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 90.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,14) frames.
Overall, i_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,10) frames.
Overall, v_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,10) frames.
Overall, tS_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.0,21) frames.
Overall, z_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,14) frames.
Overall, v_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,6) frames.
Overall, c_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,18.8,19) frames.
Overall, u_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,6) frames.
Overall, a_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.7,11) frames.
Overall, n_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,10) frames.
Overall, k_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,10) frames.
Overall, tS_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.8,15) frames.
Overall, t_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.0,14) frames.
Overall, j_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.4,9) frames.
Overall, oc5_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.4,14) frames.
Overall, sj_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,20) frames.
The optional-silence phone sil occupies 16.0% of frames overall 
Limiting the stats to the 97.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 16.4% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 4.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (40,32.2,64)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Jun 19 02:22:26 +03 2020, elapsed time 0 seconds
